"Year, Month",UV_080m,WD_080m,Year,Month,Day,Hour,Min,Sec,Date_Time
2.01E+11,5.5,267,2008,1,1,0,0,0,2008/1/1 0:0:0
2.01E+11,6,264,2008,1,1,0,10,0,2008/1/1 0:10:0
2.01E+11,6.5,262,2008,1,1,0,20,0,2008/1/1 0:20:0
2.01E+11,7,260,2008,1,1,0,30,0,2008/1/1 0:30:0
2.01E+11,7.5,259,2008,1,1,0,40,0,2008/1/1 0:40:0
2.01E+11,7.9,258,2008,1,1,0,50,0,2008/1/1 0:50:0
2.01E+11,8.2,258,2008,1,1,1,0,0,2008/1/1 1:0:0
2.01E+11,8.5,257,2008,1,1,1,10,0,2008/1/1 1:10:0
2.01E+11,8.7,257,2008,1,1,1,20,0,2008/1/1 1:20:0
2.01E+11,8.8,257,2008,1,1,1,30,0,2008/1/1 1:30:0
2.01E+11,8.9,257,2008,1,1,1,40,0,2008/1/1 1:40:0
2.01E+11,8.9,257,2008,1,1,1,50,0,2008/1/1 1:50:0
2.01E+11,8.9,257,2008,1,1,2,0,0,2008/1/1 2:0:0
2.01E+11,8.9,258,2008,1,1,2,10,0,2008/1/1 2:10:0
2.01E+11,8.8,258,2008,1,1,2,20,0,2008/1/1 2:20:0
2.01E+11,8.8,259,2008,1,1,2,30,0,2008/1/1 2:30:0
2.01E+11,8.8,260,2008,1,1,2,40,0,2008/1/1 2:40:0
2.01E+11,8.7,260,2008,1,1,2,50,0,2008/1/1 2:50:0
2.01E+11,8.6,261,2008,1,1,3,0,0,2008/1/1 3:0:0
2.01E+11,8.5,262,2008,1,1,3,10,0,2008/1/1 3:10:0
2.01E+11,8.3,263,2008,1,1,3,20,0,2008/1/1 3:20:0
2.01E+11,8,264,2008,1,1,3,30,0,2008/1/1 3:30:0
2.01E+11,7.8,265,2008,1,1,3,40,0,2008/1/1 3:40:0
2.01E+11,7.5,266,2008,1,1,3,50,0,2008/1/1 3:50:0
2.01E+11,7.3,267,2008,1,1,4,0,0,2008/1/1 4:0:0
2.01E+11,7.2,268,2008,1,1,4,10,0,2008/1/1 4:10:0
2.01E+11,7.2,268,2008,1,1,4,20,0,2008/1/1 4:20:0
2.01E+11,7.2,269,2008,1,1,4,30,0,2008/1/1 4:30:0
2.01E+11,7.2,269,2008,1,1,4,40,0,2008/1/1 4:40:0
2.01E+11,7.3,269,2008,1,1,4,50,0,2008/1/1 4:50:0
2.01E+11,7.4,269,2008,1,1,5,0,0,2008/1/1 5:0:0
2.01E+11,7.4,270,2008,1,1,5,10,0,2008/1/1 5:10:0
2.01E+11,7.5,270,2008,1,1,5,20,0,2008/1/1 5:20:0
2.01E+11,7.6,271,2008,1,1,5,30,0,2008/1/1 5:30:0
2.01E+11,7.7,271,2008,1,1,5,40,0,2008/1/1 5:40:0
2.01E+11,7.7,271,2008,1,1,5,50,0,2008/1/1 5:50:0
2.01E+11,7.8,272,2008,1,1,6,0,0,2008/1/1 6:0:0
2.01E+11,7.9,272,2008,1,1,6,10,0,2008/1/1 6:10:0
2.01E+11,8,273,2008,1,1,6,20,0,2008/1/1 6:20:0
2.01E+11,8,273,2008,1,1,6,30,0,2008/1/1 6:30:0
2.01E+11,8.1,274,2008,1,1,6,40,0,2008/1/1 6:40:0
2.01E+11,8.2,275,2008,1,1,6,50,0,2008/1/1 6:50:0
2.01E+11,8.2,276,2008,1,1,7,0,0,2008/1/1 7:0:0
2.01E+11,8.2,277,2008,1,1,7,10,0,2008/1/1 7:10:0
2.01E+11,8.2,278,2008,1,1,7,20,0,2008/1/1 7:20:0
2.01E+11,8.3,280,2008,1,1,7,30,0,2008/1/1 7:30:0
2.01E+11,8.4,280,2008,1,1,7,40,0,2008/1/1 7:40:0
2.01E+11,8.4,281,2008,1,1,7,50,0,2008/1/1 7:50:0
2.01E+11,8.5,281,2008,1,1,8,0,0,2008/1/1 8:0:0
2.01E+11,8.5,281,2008,1,1,8,10,0,2008/1/1 8:10:0
2.01E+11,8.6,282,2008,1,1,8,20,0,2008/1/1 8:20:0
2.01E+11,8.6,282,2008,1,1,8,30,0,2008/1/1 8:30:0
2.01E+11,8.7,281,2008,1,1,8,40,0,2008/1/1 8:40:0
2.01E+11,8.7,281,2008,1,1,8,50,0,2008/1/1 8:50:0
